iter	Passed	Remaining
399	31398	7849
400	31473	7770
401	31547	7690
402	31620	7610
403	31694	7531
404	31766	7451
405	31840	7371
406	31910	7291
407	31993	7214
408	32071	7135
409	32177	7063
410	32261	6986
411	32341	6907
412	32417	6828
413	32496	6750
414	32577	6672
415	32651	6593
416	32729	6514
417	32807	6435
418	32880	6356
419	32955	6277
420	33031	6198
421	33122	6122
422	33204	6044
423	33279	5965
424	33348	5885
425	33427	5806
426	33513	5729
427	33592	5651
428	33672	5572
429	33755	5495
430	33836	5416
431	33910	5337
432	33981	5258
433	34061	5179
434	34140	5101
435	34216	5022
436	34291	4943
437	34368	4864
438	34440	4785
439	34512	4706
440	34591	4627
441	34671	4549
442	34741	4470
443	34820	4391
444	34896	4313
445	34973	4234
446	35044	4155
447	35119	4076
448	35195	3997
449	35266	3918
450	35339	3839
451	35407	3760
452	35469	3680
453	35539	3600
454	35612	3522
455	35691	3443
456	35767	3365
457	35843	3286
458	35914	3208
459	35986	3129
460	36037	3048
461	36109	2970
462	36177	2891
463	36252	2812
464	36324	2734
465	36391	2655
466	36460	2576
467	36530	2497
468	36604	2419
469	36672	2340
470	36740	2262
471	36813	2183
472	36884	2105
473	36951	2026
474	37022	1948
475	37093	1870
476	37165	1792
477	37251	1714
478	37320	1636
479	37392	1558
480	37466	1479
481	37540	1401
482	37611	1323
483	37680	1245
484	37752	1167
485	37811	1089
486	37879	1011
487	37949	933
488	38017	855
489	38087	777
490	38157	699
491	38230	621
492	38302	543
493	38374	466
494	38450	388
495	38523	310
496	38596	232
497	38671	155
498	38743	77
499	38816	0
