iter	F1	Logloss
65	0.951045792	0.1081605146
66	0.9514013343	0.1067185574
67	0.9515893451	0.1063832721
68	0.9519191676	0.1058283411
69	0.9519908439	0.1056921986
70	0.9522433002	0.1051449791
71	0.9522461761	0.1048832162
72	0.9523795185	0.104477383
73	0.9525257848	0.1040355551
74	0.9528212387	0.1036098854
75	0.9531080593	0.1032469433
76	0.9533574225	0.1026559974
77	0.9538063117	0.1023748496
78	0.9535755696	0.1020717602
79	0.9535069356	0.1017408836
80	0.9534796163	0.1016527222
81	0.9536000964	0.1010959642
82	0.9537780321	0.1009753194
83	0.9537780321	0.1009735098
84	0.953707608	0.1009062538
85	0.9536733034	0.1007225289
86	0.9537882211	0.1004416182
87	0.9537882211	0.100440135
88	0.954037529	0.09981794548
89	0.9541552456	0.09961149712
90	0.954262737	0.09935112946
91	0.9543202253	0.09916100762
92	0.9542113508	0.09906024318
93	0.9544968445	0.09872482955
94	0.9544899896	0.09847609552
95	0.9545071101	0.09831136923
96	0.9546324338	0.09794632348
97	0.9546536503	0.09741702839
98	0.9552949688	0.09676694689
99	0.9553264605	0.096740976
100	0.9554497227	0.09665961425
101	0.9556737856	0.09634029387
102	0.9558271668	0.09609145321
103	0.9558717145	0.09579291404
104	0.955904515	0.09560420573
105	0.9558757045	0.09556586482
106	0.9559792028	0.09536274665
107	0.9559778759	0.09520800396
108	0.9561272626	0.09496091154
109	0.9563068019	0.09479897669
110	0.9563670892	0.09463616926
111	0.9563998613	0.09437634422
112	0.9565007687	0.09417067349
113	0.956495532	0.0938218131
114	0.9565898715	0.09353432937
115	0.9566357281	0.09350070763
116	0.9566697803	0.09323678744
117	0.9567431559	0.09301113194
118	0.9567693815	0.09285107873
119	0.9568768081	0.09264896439
120	0.9569698065	0.09228782711
121	0.9569370781	0.09216791073
122	0.956977743	0.0917395118
123	0.9569816324	0.09154249658
124	0.9571310179	0.09142673789
125	0.957406096	0.09106159372
126	0.9574205213	0.09104210305
127	0.9574362297	0.09096852522
128	0.9574506554	0.09094055527
129	0.957434947	0.09081097059
130	0.9575279104	0.09068539954
131	0.9575580432	0.09045103583
132	0.9576131997	0.09022591087
133	0.9576119223	0.09000935029
134	0.9576696454	0.08995004085
135	0.9576539377	0.0895638846
136	0.9577116677	0.08944772753
137	0.9576815264	0.08935004509
138	0.9578008199	0.08920478583
139	0.957845398	0.08917592323
140	0.9579056834	0.08908432654
141	0.9580300496	0.08905660571
142	0.9579986437	0.08902503445
143	0.9579132951	0.0889904686
144	0.9579340686	0.08878127093
145	0.9580520733	0.08859286127
146	0.95838105	0.0882712092
147	0.9583653542	0.08818020445
148	0.9583389836	0.08809561132
149	0.9584281345	0.08793203925
150	0.9584463328	0.08785326149
151	0.9585524234	0.08772749074
152	0.9585367324	0.08766229061
153	0.9585053488	0.08746142764
154	0.9587018427	0.08736992958
155	0.9588161721	0.0871531973
156	0.95884507	0.08706541594
157	0.9588946147	0.08676939595
158	0.9589837864	0.08659280884
159	0.9589837864	0.08654104291
160	0.9589680997	0.08643441787
161	0.9590609791	0.08633591007
162	0.9590308436	0.08631715757
163	0.9590911146	0.08624692566
164	0.9591067985	0.08604056013
165	0.9590923473	0.08594477076
166	0.9591513855	0.08580540414
167	0.9592780632	0.08534324258
168	0.9593696802	0.08526118493
169	0.9593709043	0.08522755114
170	0.9593758002	0.0851004794
171	0.959480629	0.0850082179
172	0.9594963021	0.08498478181
173	0.959616804	0.0847543141
174	0.9595553346	0.08471617164
175	0.9596770549	0.08452223984
176	0.9596758401	0.08440134679
177	0.9598011898	0.08431833578
178	0.9598288925	0.08421584702
179	0.9598421401	0.08402480931
180	0.9598891416	0.08394669684
181	0.9599035999	0.08383060482
182	0.9600228957	0.08368647742
183	0.9600831476	0.08362960258
184	0.9601144751	0.08358634098
185	0.9600686861	0.08352206641
186	0.9602662971	0.08340195245
187	0.9603253502	0.08326758531
188	0.9602916365	0.0831762199
189	0.9603217643	0.08306565236
190	0.9602964213	0.08301785955
191	0.9602651002	0.08297457805
192	0.9603723284	0.08291905789
193	0.9603844068	0.08287352848
194	0.9603530865	0.08269181429
195	0.9603542809	0.08258946065
196	0.9605061003	0.08227073213
197	0.960624228	0.08215661028
198	0.9606097579	0.08209877205
199	0.9606386985	0.08206112333
200	0.9607146085	0.08200796022
201	0.960726714	0.08183904732
202	0.9608339359	0.0815066299
203	0.9608617053	0.08144946273
204	0.9608617053	0.08144922479
205	0.9610147023	0.08135666079
206	0.9609869253	0.08130586481
207	0.9609074886	0.08124673686
208	0.9609724503	0.08109759824
209	0.9611242488	0.0810401509
210	0.9611254198	0.08098668773
211	0.9611856672	0.08080781711
212	0.9612326044	0.08070606922
213	0.9612024821	0.0806850026
214	0.9612181273	0.08064417217
215	0.9613397792	0.08049843765
216	0.9613988584	0.08039127878
217	0.9614759036	0.08023283092
218	0.9614591021	0.08020432493
219	0.9614411375	0.08012924106
220	0.9615013857	0.08010260226
221	0.9614289802	0.08002507237
222	0.9614434604	0.07997739983
223	0.9615025454	0.07988734133
224	0.9614770639	0.07980732952
225	0.9615228228	0.07978718496
226	0.9616432992	0.07971798261
227	0.9616566265	0.079697952
228	0.9616554716	0.07962175039
229	0.961732504	0.07958012293
230	0.961746988	0.0794148964
231	0.9617134078	0.07930824006
232	0.9618327509	0.07923669355
233	0.9618831042	0.07917769709
234	0.9619734643	0.07912945369
235	0.9619734643	0.079129428
236	0.9618998855	0.07909172448
237	0.9618384988	0.07903514031
238	0.9618720636	0.07896629112
239	0.9619212527	0.07889224155
240	0.9620260788	0.07885421087
241	0.9620527647	0.0787005797
242	0.9622056255	0.07859173159
243	0.9622201141	0.0784995209
244	0.9622201141	0.07849947793
245	0.9622201141	0.07843266347
246	0.9622346032	0.07840763392
247	0.9623417102	0.07827350144
248	0.9624164308	0.07818822602
249	0.9623874484	0.07815785591
250	0.9623897136	0.0781221614
251	0.9624343165	0.07799812938
252	0.9624979299	0.07787368806
253	0.9625893865	0.07776200152
254	0.9625436589	0.07771154362
255	0.9626050041	0.07765696628
256	0.9626507294	0.07761429677
257	0.9626496048	0.07756670328
258	0.9626785902	0.07752702221
259	0.9628469922	0.07738377281
260	0.9628782177	0.0773546418
261	0.9628637233	0.07733596186
262	0.9627890173	0.07725929134
263	0.9628191233	0.07721762836
264	0.9628191233	0.07721579942
265	0.9628213619	0.07717830556
266	0.9628960638	0.07711046153
267	0.9628938297	0.07703325064
268	0.9629250523	0.07701157636
269	0.9629551578	0.07698458998
270	0.9628659592	0.07694447126
271	0.9629395472	0.07689007279
272	0.9630276389	0.076858156
273	0.9631335712	0.07679316608
274	0.963196002	0.07673727119
275	0.9632428202	0.0766858065
276	0.963212716	0.07666388316
277	0.9631815034	0.07659062043
278	0.9632595313	0.07654865245
279	0.9632283216	0.0764979843
280	0.9632305354	0.07647084624
281	0.9632773463	0.07640960428
282	0.9633988502	0.07627329477
283	0.9634423491	0.07622823411
284	0.9634735496	0.07621016635
285	0.9635471539	0.07610988301
286	0.96362405	0.07605061413
287	0.9636385528	0.07600314942
288	0.963622955	0.07592444152
289	0.9637299461	0.0758421525
290	0.9637745504	0.07579460683
291	0.963776731	0.07575824819
292	0.9637622272	0.07571008065
293	0.9637789114	0.07562377895
294	0.9639025565	0.07553165321
295	0.9638702882	0.07548016841
296	0.9639906704	0.07541443526
297	0.9640207659	0.07535887496
298	0.9640787949	0.07528860996
299	0.964172322	0.07521445788
300	0.964157814	0.07518142379
301	0.9641298787	0.07512938285
302	0.9641132127	0.0750849556
303	0.9641132127	0.0750849416
304	0.9641255605	0.0750440923
305	0.9641422273	0.07493257504
306	0.9641734001	0.0749008596
307	0.9641567353	0.07488502728
308	0.964172322	0.07485135586
309	0.9641110526	0.07481448832
310	0.9641755563	0.07472519019
311	0.9642067253	0.07467660762
312	0.9641766343	0.07461217711
313	0.9642067253	0.07449842854
314	0.9642368164	0.07445057521
315	0.964326016	0.07436950097
316	0.9644485233	0.07408184176
317	0.9645688838	0.07400148662
318	0.9645699499	0.07396888894
319	0.9645387937	0.07391338786
320	0.9645533054	0.07384789358
321	0.9645522388	0.07376315265
322	0.9645989739	0.07371186149
323	0.9646570272	0.07358789191
324	0.9647805744	0.07353427721
325	0.964776335	0.0734727885
326	0.9647773949	0.07346407452
327	0.9649278546	0.07340817833
328	0.9649911989	0.07333071514
329	0.965004664	0.07329934775
330	0.965003611	0.07325164788
331	0.9649579465	0.07320244819
332	0.9650461187	0.07313442397
333	0.9650212881	0.07305329197
334	0.965004664	0.07304055907
335	0.965005717	0.07297638622
336	0.9650212881	0.07291515332
337	0.965110506	0.07279202708
338	0.9650825172	0.07266010737
339	0.9650980864	0.07262474396
340	0.9651582621	0.07258958072
341	0.9652070579	0.0725268237
342	0.9651914919	0.07248332128
343	0.9653128761	0.07242741789
344	0.9653886073	0.07236872294
345	0.96550998	0.07231001758
346	0.9655110175	0.0722984253
347	0.96550998	0.07226970132
348	0.9654643362	0.07223537927
349	0.96550998	0.07219416695
350	0.965466414	0.07214830611
351	0.9655701458	0.07211865252
352	0.9656178559	0.07206870441
353	0.9656012634	0.07201768833
354	0.9656344468	0.07196957746
355	0.9655400629	0.07189188891
356	0.9655991938	0.07185921714
357	0.9655110175	0.07181703421
358	0.9655888103	0.07168741667
359	0.9655400629	0.0716415234
360	0.9656915094	0.07159682284
361	0.9657236535	0.07152054588
362	0.9657215913	0.07143722748
363	0.9656915094	0.07142609035
364	0.9657070661	0.07139656947
365	0.9657516733	0.07136363939
366	0.9658024543	0.0712511982
367	0.9657869013	0.07122691072
368	0.9658180068	0.07119738407
369	0.965863635	0.07115529187
370	0.9659683896	0.07108174778
371	0.9659839394	0.07104975533
372	0.9659994887	0.0709954167
373	0.9660451128	0.07093943151
374	0.9661073018	0.07088793261
375	0.9660316076	0.07083949595
376	0.9660897156	0.07082242796
377	0.9661373752	0.07077138868
378	0.9661218291	0.07072411722
379	0.9661383935	0.07069073866
380	0.9661062825	0.07064712583
381	0.966228611	0.07056536245
382	0.9662421244	0.07051056659
383	0.9662421244	0.07046114339
384	0.9662887559	0.07041323179
385	0.9662742268	0.07036963855
386	0.9662742268	0.07031260223
387	0.9662762551	0.07025768838
388	0.9663509247	0.07019039719
389	0.9663644428	0.07013272547
390	0.9665022853	0.07008605859
391	0.9664867466	0.07006355524
392	0.9666556421	0.06999708567
393	0.966640107	0.06994428729
394	0.9667283088	0.06988322717
395	0.9666857091	0.06981416942
396	0.9667468431	0.06975587574
397	0.9667779081	0.06974057085
398	0.9667779081	0.06973149969
399	0.9667323101	0.06968635836
400	0.9667779081	0.06968097058
401	0.9668069753	0.06966213802
402	0.9667924415	0.06964086416
403	0.9668370415	0.06959700957
404	0.9668225072	0.06956235225
405	0.9667739123	0.0695388859
406	0.9668991642	0.06948944371
407	0.9669292285	0.06934348419
408	0.9669282343	0.06929743088
409	0.9670805399	0.06924757717
410	0.9671542173	0.06919905712
411	0.9672007937	0.06916242921
412	0.9672298719	0.06913087135
413	0.9671842821	0.06910475358
414	0.9672318422	0.06908049877
415	0.9672007937	0.06905694056
416	0.9672328273	0.06900450803
417	0.9672774279	0.06895738507
418	0.9672328273	0.06892075226
419	0.9673210474	0.0688630845
420	0.9673210474	0.06882297593
421	0.9673666331	0.06878686367
422	0.9674461945	0.06871691471
423	0.9674907943	0.06868742773
424	0.9675063124	0.06863722477
425	0.96763044	0.06858491151
426	0.9676139523	0.0685431041
427	0.9677206059	0.06848953506
428	0.9676760087	0.06845546285
429	0.9676915217	0.06841822244
430	0.9677681107	0.06832310393
431	0.9678136739	0.06830351251
432	0.9678010668	0.06822806956
433	0.9677845895	0.06818004097
434	0.9678000992	0.06816365905
435	0.9678000992	0.06814151571
436	0.9678000992	0.06804579794
437	0.9678602016	0.06801338401
438	0.967936775	0.06795418817
439	0.9678921826	0.06791049572
440	0.9679241598	0.06788529998
441	0.9678931474	0.06784837755
442	0.9679570959	0.06764737363
443	0.9679580586	0.06759983033
444	0.9679881026	0.06755573091
445	0.9679745238	0.06750198824
446	0.9679881026	0.06744550321
447	0.9680181466	0.0674088227
448	0.9680326884	0.06736550156
449	0.9680753572	0.06732302641
450	0.9681073204	0.06727380732
451	0.9681683667	0.06724938974
452	0.9682449078	0.0672389506
453	0.9683049931	0.06721481765
454	0.9683068974	0.06720128882
455	0.9684125148	0.06711985045
456	0.9684270608	0.06707735836
457	0.9684425552	0.06706391863
458	0.9684444511	0.06701908653
459	0.9685993603	0.0669305901
460	0.9685993603	0.06693058765
461	0.9686003033	0.06689778611
462	0.9686284521	0.06687370931
463	0.9686120205	0.06684500733
464	0.9685838715	0.06677698345
465	0.9686758567	0.06672744039
466	0.9687068292	0.0666835636
467	0.9687523462	0.06661171751
468	0.9687523462	0.06657574783
469	0.9687978618	0.06654652301
470	0.968812409	0.06654293651
471	0.9688269566	0.06649730642
472	0.9688743412	0.0664582095
473	0.9688743412	0.0664440903
474	0.9688288288	0.06638373398
475	0.969009009	0.06624646166
476	0.9689925973	0.06623735546
477	0.9690371794	0.06618186886
478	0.9690990991	0.06616512511
479	0.9691610114	0.0660928193
480	0.9691309831	0.06606076311
481	0.9691309831	0.06605489802
482	0.9691145779	0.06602561064
483	0.9690990991	0.06600760185
484	0.9691446074	0.06597190368
485	0.9691272749	0.06596090198
486	0.9691864132	0.06594813816
487	0.9692037418	0.06589491882
488	0.9692037418	0.06586744969
489	0.9692492492	0.06580357594
490	0.9693712089	0.06575513602
491	0.9694467382	0.06572152865
492	0.969418547	0.0656536109
493	0.9694349366	0.06559556588
494	0.9694522419	0.06553945597
495	0.9694667948	0.06548406488
496	0.9695723314	0.06542190703
497	0.969617821	0.06538071868
498	0.9696469317	0.06534407862
499	0.9696769545	0.06529989834
