iter	F1	Logloss
0	0.8922658869	0.564612992
1	0.8957278571	0.4389014116
2	0.9091835546	0.386847766
3	0.9116423054	0.3443379434
4	0.9191960865	0.2998147757
5	0.9219862346	0.2726588338
6	0.9255137368	0.2553032285
7	0.9276424581	0.2387806673
8	0.9288261006	0.2177119791
9	0.9290634332	0.205569604
10	0.9289315726	0.1988148479
11	0.9313591519	0.1874683645
12	0.9309339106	0.182393293
13	0.9318765874	0.1758262748
14	0.9334497448	0.1710726862
15	0.9338175462	0.1668867371
16	0.9343646809	0.1644007856
17	0.9358707772	0.15939214
18	0.9359798798	0.1562483707
19	0.9361240777	0.1539627856
20	0.9361138297	0.1519871307
21	0.9361452135	0.1497543082
22	0.9363926721	0.1482305404
23	0.9368674699	0.1467529886
24	0.9372985996	0.1455289951
25	0.9378990483	0.1439347485
26	0.9385893615	0.1408585866
27	0.938766911	0.1396635595
28	0.9393374056	0.1383227786
29	0.9395858086	0.1365732626
30	0.9400138383	0.1356162067
31	0.9402691122	0.1346814818
32	0.9407168082	0.1337379465
33	0.9415740463	0.1323366904
34	0.9418622119	0.1316842158
35	0.9420633729	0.1307678582
36	0.942109294	0.1300446272
37	0.9421710991	0.1293340857
38	0.9425649804	0.1286701219
39	0.9428494204	0.1276522703
40	0.943382066	0.1262225592
41	0.9435729619	0.1250463277
42	0.9441006848	0.1227580687
43	0.9447773523	0.1215153533
44	0.9452672054	0.1211449803
45	0.9457392297	0.1199990769
46	0.9459175084	0.1193694158
47	0.9463034785	0.118515551
48	0.946619966	0.1178649865
49	0.9468716654	0.1175345128
50	0.9467686896	0.1170586887
51	0.9473256968	0.1165718816
52	0.9472893151	0.1160377923
53	0.9476010101	0.1152868812
54	0.9479633248	0.1143271358
55	0.948135899	0.1138380668
56	0.9481739863	0.1136299672
57	0.9485354956	0.1127782382
58	0.9488491049	0.1123889291
59	0.9495791993	0.1114210829
60	0.9501430938	0.1105705223
61	0.9501935328	0.1100272517
62	0.9504917687	0.109604716
63	0.9505391891	0.1092760155
64	0.9510542169	0.1084263342
